time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
0.7,19.99,7996,0.349046981659,4518.99492113,0.330046371687,1.39618792664,0,0,0,0,1116019.7045,131.974538824,23
0.9,19.98,7992,0.532609037331,4521.14505898,0.330203407755,3.52662407596,1.94567877768,2.77275314124,-0.622615296075,-1.88599925502,1701509.28489,131.993294178,29
1.1,19.97,7988,0.536657317905,4523.27078937,0.330358661216,5.67325334758,1.86641400603,2.76307042031,-0.637340026282,-1.929690051,1713012.30574,132.011287964,27
1.3,19.96,7984,0.578391706107,4525.52919301,0.330523604514,7.98682017201,2.26251028085,3.06119328475,-0.802789649255,-2.42944830232,1844688.06193,132.033103738,29
1.5,19.95,7980,0.51127182653,4527.54754772,0.330671015755,10.0319074781,1.53088368874,2.55119333575,-0.532838624926,-1.61174519148,1629258.56959,132.047867003,26
1.7,19.94,7976,0.593520359003,4529.82947404,0.330837677041,12.4059889141,2.32257190867,3.14228218963,-0.860355870272,-2.60119293863,1889778.32256,132.070268163,30
1.9,19.93,7972,0.461355298421,4531.57644133,0.330965267407,14.2514101078,0.700536915128,2.07722989025,-0.330262598928,-0.998069294492,1467735.04058,132.077025573,24
2.1,19.92,7968,0.576555644466,4533.92941816,0.331137117891,16.5576326857,2.52641269909,3.14259451502,-0.7896176872,-2.38518303131,1832694.61565,132.101398336,31
2.3,19.91,7964,0.500298298128,4535.91823156,0.331282371571,18.5588258782,1.42121490756,2.47191341925,-0.483100021558,-1.45859241536,1588965.41461,132.115111031,25
2.5,19.9,7960,0.520779820842,4537.89371806,0.331426651918,20.6419451616,1.37606936133,2.53908607472,-0.563599572393,-1.70089602651,1652631.12345,132.128389492,25
2.7,19.89,7956,0.574108913104,4540.13649352,0.331590453807,22.938380814,2.17727488608,3.01822089908,-0.775445432032,-2.33914155558,1820338.88702,132.149401959,26
2.9,19.88,7952,0.53588787425,4542.29128885,0.331747830036,25.081932311,1.90642711081,2.77585454098,-0.62105921092,-1.87252635962,1697727.10536,132.167803269,28
3.1,19.87,7948,0.335445993805,4543.71360409,0.331851709326,26.4237162862,-0.30603713494,1.24024092433,0.182074308275,0.548747542682,1061823.59968,132.16484915,21
3.3,19.86,7944,0.680270787529,4546.30180195,0.33204073926,29.1447994363,3.20202335972,3.78398271447,-1.19578485644,-3.60234510571,2151529.04937,132.195760954,37
3.5,19.85,7940,0.409492566343,4547.99278805,0.33216424102,30.7827697017,0.494429099833,1.80217140062,-0.111185296653,-0.334792119764,1294037.49311,132.200534735,23
3.7,19.84,7936,0.574909520911,4550.32018791,0.332334223481,33.0824077853,2.40533468109,3.09880868474,-0.771408829213,-2.32177761251,1815246.46425,132.223761033,33
3.9,19.83,7932,0.295463899877,4551.63030017,0.332429907988,34.2642633848,-0.660381004076,0.962356797202,0.347755462925,1.04625218619,932128.102786,132.217383881,20
4.1,19.82,7928,0.576915567153,4553.84222712,0.332591456845,36.5719256535,2.04791070237,2.98861445378,-0.776687495753,-2.33582719842,1818521.02683,132.237161098,31
4.3,19.81,7924,0.374096123442,4555.40250382,0.332705412199,38.0683101472,0.0838563864345,1.52427918944,0.0359975120514,0.108214884892,1178213.47663,132.237970984,19
4.5,19.8,7920,0.37690581245,4556.99266167,0.332821549932,39.575933397,0.169705701521,1.5640951098,0.02606273239,0.0783220932375,1186064.03669,132.23961002,21
4.7,19.79,7916,0.568629784393,4559.18122597,0.33298139249,41.8504525346,1.96294493635,2.92798639479,-0.739422087505,-2.22114394633,1787883.62405,132.258569827,26
4.9,19.78,7912,0.420856911488,4560.84564129,0.333102953644,43.5338801805,0.38401507243,1.81132086016,-0.146905541371,-0.441101918169,1322142.48668,132.262279292,22
5.1,19.77,7908,0.42350150527,4562.36255708,0.333213742118,45.2278862016,-0.0627916977671,1.67308644279,-0.156170654901,-0.468758042218,1329329.7555,132.261672737,21
5.3,19.76,7904,0.469098209676,4564.26532837,0.333352711683,47.1042790403,1.09090743612,2.23997398926,-0.33720270182,-1.01176019254,1471212.23545,132.27221108,26
5.5,19.75,7900,0.597020505457,4566.4959856,0.333515628513,49.4923610622,2.06934558063,3.07807254815,-0.847415313664,-2.541477118,1870830.32076,132.292203601,27
5.7,19.74,7896,0.390843669389,4568.13761811,0.333635525717,51.0557357397,0.29837848915,1.66290645427,-0.0212739441625,-0.0637754848435,1223718.8448,132.295086568,20
5.9,19.73,7892,0.645191898345,4570.50743211,0.333808605909,53.6365033331,2.47587567676,3.40702193892,-1.03720793942,-3.10799927745,2018369.61518,132.319011181,38
6.1,19.72,7888,0.620340152193,4572.71088441,0.333969535817,56.1178639419,1.9717244718,3.13969786066,-0.936245566963,-2.80406173387,1938986.24755,132.338067229,31
6.3,19.71,7884,0.380885655757,4574.31911628,0.334086993593,57.6414065649,0.184680824323,1.5852312383,0.0230006348615,0.0688583491034,1189521.53812,132.339852248,26
6.5,19.7,7880,0.403324195883,4575.91756309,0.334203736714,59.2547033484,0.151360045437,1.66387304118,-0.0654262295907,-0.195801697146,1258533.09107,132.341315224,23
6.7,19.69,7876,0.532829460091,4577.97142629,0.33435374133,61.3860211888,1.50948456304,2.63590643667,-0.582043238958,-1.74119132033,1661235.00828,132.355906094,27
6.9,19.68,7872,0.606425838254,4580.28432197,0.334522664473,63.8117245418,2.27873076897,3.18779797629,-0.874902293861,-2.61603574672,1889090.82864,132.377935642,30
7.1,19.67,7868,0.660883224406,4582.44312627,0.334680333499,66.4552574394,1.81247670691,3.24999032063,-1.09118602601,-3.26115103882,2056989.05151,132.395460314,34
7.3,19.66,7864,0.514939470468,4584.44506215,0.334826545585,68.5150153213,1.33858024992,2.50785222464,-0.505916336283,-1.51131034524,1601383.52722,132.408404413,28
7.5,19.65,7860,0.347009254218,4585.94764987,0.334936287604,69.9030523382,-0.157186214624,1.33539827465,0.16718944468,0.499249693758,1078231.37988,132.406884354,17
7.7,19.64,7856,0.357914441492,4587.04344676,0.335016319512,71.3347101042,-1.37520813688,0.970995627653,0.124801259058,0.372567425614,1111172.99992,132.393586232,25
7.9,19.63,7852,0.478437029185,4588.86928308,0.335149670105,73.2484582209,0.800066331117,2.18183673902,-0.35600042364,-1.06242462063,1484084.41096,132.401322629,27
8.1,19.62,7848,0.399401987967,4590.4138928,0.335262481215,74.8460661728,-0.0432695297784,1.58310374259,-0.0384940174868,-0.114836872843,1237870.49863,132.400904214,26
8.3,19.61,7844,0.610764178212,4592.68509339,0.335428359144,77.2891228856,2.1191384738,3.15370009476,-0.882499501088,-2.63161339915,1891339.67276,132.421397755,30
8.5,19.6,7840,0.537190771178,4594.64542299,0.3355715325,79.4378859703,1.18705505031,2.54701998978,-0.586690392268,-1.74870487931,1662092.97578,132.432878788,29
8.7,19.59,7836,0.462257271441,4596.23262638,0.335687454453,81.2869150561,0.070703033444,1.87275910907,-0.285555724175,-0.850806409225,1429029.28989,132.43356265,31
8.9,19.58,7832,0.605473509174,4598.61941489,0.335861774386,83.7088090928,2.44759576161,3.24373455981,-0.85694604486,-2.55214661281,1870178.003,132.457238723,35
9.1,19.57,7828,0.363489626723,4600.29946579,0.33598447749,85.1627675997,0.338205012822,1.56756939201,0.112481505205,0.334842993887,1121786.08809,132.46051058,20
9.3,19.56,7824,0.392899135325,4601.87511319,0.336099555448,86.734364141,0.0233663348521,1.57944861158,-0.00380121138991,-0.0113117146179,1211515.96822,132.460736633,24
9.5,19.55,7820,0.526341896955,4603.81559832,0.336241279456,88.8397317288,1.10446576845,2.47665630626,-0.536171177093,-1.59493860631,1621607.94357,132.471422015,28
9.7,19.54,7816,0.498728807144,4605.76974728,0.336384001408,90.8346469574,1.14026482143,2.37840070146,-0.424251738417,-1.26148020447,1535225.01717,132.482454646,26
9.9,19.53,7812,0.63862492645,4608.16706122,0.336559090069,93.3891466632,2.45222502238,3.37960364958,-0.9822897079,-2.91938418074,1964187.41172,132.506184261,33
10.1,19.52,7808,0.533761636294,4609.90529136,0.336686042314,95.5241932083,0.488704182412,2.29955540117,-0.561325259064,-1.66752118081,1640263.78793,132.510913846,30
10.3,19.51,7804,0.522343547847,4612.00562911,0.336839441214,97.6135673997,1.55941952195,2.61452858516,-0.514190843594,-1.52686381189,1603805.39136,132.526006738,27
