time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
1,19.975,7990,0.424551409117,0.377294512617,4521.87473371,0.330256699803,4.24551409117,1204828.19181,131.992571408,61,0.0431500826514,-0.476716421815,-0.130718179883,1.44415721016
1.5,19.95,7980,0.578639338696,0.378241232057,4527.54754772,0.330671015755,10.0319074781,1205332.93,132.047867003,73,-0.113579376915,-2.00871787699,0.343696819612,6.07847977837
2,19.925,7970,0.525965562208,0.379138570268,4532.60160756,0.33104014078,15.2915631002,1205670.13587,132.084808925,67,-0.205595784938,-1.47275945149,0.621406433629,4.45136654246
2.5,19.9,7960,0.535038206135,0.38005810034,4537.89371806,0.331426651918,20.6419451616,1206067.93928,132.128389492,68,-0.0582715599891,-1.55440169634,0.175922961366,4.69276864432
3,19.875,7950,0.508030662534,0.380967993888,4543.04332712,0.331802755413,25.7222517869,1206425.12183,132.167519921,65,0.0693024368083,-1.27517906462,-0.208984812924,3.84536346104
3.5,19.85,7940,0.506051791479,0.381863374311,4547.99278805,0.33216424102,30.7827697017,1206726.48106,132.200534735,70,-0.111056985209,-1.24636387671,0.334525618911,3.75429466647
4,19.825,7930,0.491572139478,0.382765970896,4553.0012238,0.332530033874,35.6984910965,1207040.84439,132.234974188,72,0.0927143576123,-1.09257751207,-0.278968425377,3.28745877117
4.5,19.8,7920,0.387744230003,0.383585240881,4556.99266167,0.332821549932,39.5759333965,1207083.16026,132.23961002,52,0.11399556441,-0.0456885725878,-0.342662637874,0.137336631338
5,19.775,7910,0.485928918924,0.384465638253,4561.68479787,0.333164241737,44.4352225858,1207308.71742,132.264320489,59,-0.167152986573,-1.01903747765,0.501971629617,3.06023789215
5.5,19.75,7900,0.505713847987,0.385358311021,4566.4959856,0.333515628513,49.4923610656,1207563.23447,132.292203601,63,-0.245950747361,-1.20802148884,0.737837628931,3.62399269199
6,19.725,7890,0.551145187247,0.386290739624,4571.75090345,0.333899423273,55.0038129381,1207932.41511,132.332648456,74,-0.256534023469,-1.65320963524,0.768739101052,4.95406758005
6.5,19.7,7880,0.425089058252,0.387133465586,4575.91756323,0.334203736724,59.2547035206,1208011.5254,132.341315228,64,-0.0842308075384,-0.383771998225,0.25214910685,1.14884054201
7,19.675,7870,0.539544946325,0.388053669443,4580.97356777,0.334573003781,64.6501529839,1208322.92455,132.375429946,68,-0.339444916245,-1.51951670237,1.01512177588,4.54416731425
7.5,19.65,7860,0.525289708718,0.388969266576,4585.94765293,0.334936287827,69.903050071,1208610.04119,132.406884442,68,-0.278811926112,-1.36778528222,0.832884411335,4.08593368118
