time,T,V,W,Q,p_mech,p_IG,sigma,dS_IG_win
1.2,0.343816374,7998.4,0.173840177,21.9922821,0.108650111,0.0880345986,0.782448196,64.7635905
1.4,0.346427507,7996.8,0.3696519,29.9010177,0.122382327,0.0887209302,0.243211411,22.8326153
1.6,0.351572475,7995.2,0.557812745,45.5490856,0.117600528,0.0900565875,0.457585514,44.8785253
1.8,0.354581921,7993.6,0.825494383,54.4963324,0.167301024,0.0908456482,0.456309797,25.7743953
2,0.357570438,7992,0.939347687,63.6941992,0.0711583148,0.0916296617,0.0163356776,25.3732167
2.2,0.361120991,7990.4,1.01809139,74.6202641,0.0492148146,0.0925580433,-0.0425336624,29.9434172
2.4,0.364390844,7988.8,1.12132319,84.6601477,0.0645198719,0.0934148367,-0.00240484965,27.2808147
2.6,0.365951061,7987.2,1.31841893,89.0990574,0.123184839,0.0938336053,0.15636925,12.7151274
2.8,0.367836201,7985.6,1.47196465,94.7141289,0.0959660748,0.0943358721,0.0476136099,15.3740169
3,0.370831332,7984,1.6096196,103.963297,0.0860343453,0.0951230671,0.0615699786,24.5022948
3.2,0.373904427,7982.4,1.77106163,113.502523,0.100901271,0.0959305806,0.125641714,24.9424292
3.4,0.375563105,7980.8,1.83743728,118.769601,0.0414847813,0.096375456,-0.203758874,13.1870206
3.6,0.378036628,7979.2,2.00431176,126.234848,0.104296546,0.0970296538,0.0968447977,19.7557541
3.8,0.380090219,7977.6,2.17228929,132.441636,0.104985958,0.0975763096,0.0762324005,16.232011
4,0.381603935,7976,2.41055561,136.651265,0.148916448,0.097984561,0.237822751,11.7992061
4.2,0.38360368,7974.4,2.63120395,142.56679,0.137905212,0.0985177991,0.206212808,15.6455057
4.4,0.385787266,7972.8,2.72352108,149.000848,0.057698212,0.099098475,-0.122266174,17.0262011
4.6,0.386077865,7971.2,2.86574152,149.634836,0.088887771,0.0991930283,-0.0417955724,1.90210639
4.8,0.387443081,7969.6,3.00022981,153.777003,0.0840551823,0.099563771,-0.0448874835,10.4326638
5,0.389219204,7968,3.11516036,159.106572,0.0718315948,0.100040277,-0.0838359675,13.6393324
5.2,0.391373789,7966.4,3.15353557,165.998745,0.0239845026,0.10061427,-0.26651053,16.5473603
5.4,0.396991467,7964.8,3.40290083,183.382023,0.155853292,0.102078963,0.527270424,43.3698604
5.6,0.3996111,7963.2,3.52286807,191.511862,0.0749795262,0.102773198,-0.0449435654,19.7932094
5.8,0.401795438,7961.6,3.66221946,198.215108,0.0870946148,0.10335574,-0.0191509575,16.3347781
6,0.404985305,7960,3.86996619,207.943106,0.129841706,0.104197224,0.197152275,23.8807934
6.2,0.406274147,7958.4,4.01624163,211.71152,0.0914221524,0.104549841,-0.0361677146,9.34923484
6.4,0.406208628,7956.8,4.05690478,211.648115,0.0254144703,0.104554,-0.311638384,-0.907240356
6.6,0.40884322,7955.2,4.20397996,220.207709,0.0919219823,0.105253283,0.0119278829,19.4482073
6.8,0.411897376,7953.6,4.29485205,229.496477,0.0567950571,0.106060881,-0.106460799,22.4513342
7,0.414282609,7952,4.369843,237.19904,0.0468693463,0.106696527,-0.179904107,17.326126
7.2,0.416024295,7950.4,4.57019374,242.272549,0.125219213,0.107166653,0.0964668663,12.4758147
7.4,0.417478012,7948.8,4.73751331,246.752607,0.104574732,0.107562773,0.00725752142,10.3036075
7.6,0.42301175,7947.2,4.98292441,263.622526,0.153381938,0.109010477,0.433046679,40.0400554
7.8,0.424346481,7945.6,5.13426988,267.447193,0.0945909148,0.109376459,-0.0404791949,9.26547643
8,0.427434074,7944,5.38373311,276.791013,0.155914518,0.110194484,0.251719964,21.8588455
8.2,0.432711879,7942.4,5.66550255,293.056459,0.176105903,0.1115776,0.469024769,37.2871709
8.4,0.433909834,7940.8,5.75312239,296.79335,0.0547624016,0.111909044,-0.198951752,8.08040923
8.6,0.435324919,7939.2,5.94497003,301.118979,0.11990477,0.112296634,0.0442703177,9.58954296
8.8,0.437466477,7937.6,6.07113765,307.394255,0.0788547648,0.112871818,-0.0874429699,14.662711
9,0.439862723,7936,6.1443595,315.202196,0.0457636544,0.113512961,-0.200645407,16.3682606
9.2,0.442146284,7934.4,6.26575128,322.341877,0.0758698617,0.114125276,-0.0972803112,15.4941845
9.4,0.443921084,7932.8,6.50216379,327.764883,0.147757818,0.114606492,0.144144293,11.8934703
9.6,0.449289297,7931.2,6.75663633,344.650101,0.159045343,0.116015796,0.374319853,36.5129006
9.8,0.45117614,7929.6,6.85283827,350.608796,0.0601262075,0.116526525,-0.173030898,12.4610139
10,0.451719428,7928,6.9586439,352.331762,0.0661285188,0.116690387,-0.176825903,3.28367275
10.2,0.455100389,7926.4,7.23417836,362.089541,0.172209043,0.117587505,0.277270226,22.4938598
10.4,0.455778779,7924.8,7.50508348,363.131916,0.169315698,0.117786561,0.184339704,4.16238649
10.6,0.458271155,7923.2,7.71520322,370.628482,0.131324838,0.11845458,0.0905753556,16.3396011
10.8,0.458585925,7921.6,7.95535687,370.736939,0.150096031,0.118559884,0.110794948,1.69571063
11,0.459814651,7920,8.05557092,374.435163,0.0626337791,0.118901566,-0.184763357,7.80635389
11.2,0.460098984,7918.4,8.14585825,375.411002,0.0564295822,0.118999131,-0.216957749,1.48524426
11.4,0.462301574,7916.8,8.4739872,381.950193,0.205080597,0.11959297,0.330887336,14.2573544
11.6,0.463363045,7915.2,8.84493862,384.450996,0.231844638,0.119891792,0.394689686,6.63145809
11.8,0.46416745,7913.6,9.15071485,386.01468,0.191110142,0.120124209,0.249351054,4.91438569
12,0.467502547,7912,9.29626314,396.404576,0.0909676814,0.121011782,-0.0242385461,21.5796385
12.2,0.467959487,7910.4,9.51364556,397.233654,0.135864013,0.12115456,0.051800436,2.58692872
12.4,0.468515434,7908.8,9.67764864,398.760417,0.102501924,0.121323034,-0.0620684923,3.23316629
12.6,0.471837641,7907.2,9.82627521,409.332749,0.0928916063,0.122208049,-0.022862563,21.2920803
12.8,0.472491093,7905.6,9.82627521,411.717902,0,0.122402064,-0.411508481,3.83704797
13,0.474558386,7904,10.1862311,417.215866,0.224972424,0.122962497,0.373207512,12.997087
