time,T,V,W_core,Q_hist,p_mech,p_IG,sigma
63.5,0.977691483,7999.6,0.0978191296,-8.90509451,0.244547824,0.250301535,0.00991812517
64,0.978560791,7999.2,0.232778587,-6.34581679,0.337398643,0.250536616,0.0367214778
64.5,0.982427779,7998.8,0.31002145,5.82901289,0.193107158,0.251539242,7.20414851e-05
65,0.978993308,7998.4,0.430446646,-4.88009571,0.301062991,0.250672421,0.0394510984
65.5,0.985385725,7998,0.539104107,14.3018532,0.271643653,0.252321826,0.0727679647
66,0.989080118,7997.6,0.648295402,26.9941217,0.272978236,0.253280494,0.0294517793
66.5,0.990733051,7997.2,0.78233553,31.8791725,0.335100322,0.253716462,0.0371408725
67,0.986448159,7996.8,0.855992471,18.9509395,0.184142351,0.252631781,0.00112837344
67.5,0.988947261,7996.4,0.960369852,26.9039147,0.260943454,0.253284477,0.0129256834
68,0.992466648,7996,1.0586141,37.3528398,0.245610613,0.254198561,0.0159020357
68.5,0.991570456,7995.6,1.18294743,34.5392501,0.310833321,0.253981727,0.0241904882
69,0.991583584,7995.2,1.3144951,34.6181847,0.32886919,0.253997796,0.0302055885
69.5,0.989346043,7994.8,1.40084106,28.4505494,0.215864907,0.253437321,-0.00734342816
70,0.978057595,7994.4,1.53088283,-7.08658694,0.325104419,0.250558135,0.233541045
70.5,0.980408288,7994,1.58972637,-0.350705318,0.147108838,0.251172901,-0.0336105618
71,0.973911408,7993.6,1.71134451,-19.7138867,0.304045346,0.249520937,0.0904477761
71.5,0.972499725,7993.2,1.8383537,-24.8694668,0.317522978,0.249171725,0.031349653
72,0.972263828,7992.8,1.95528754,-25.2198891,0.292334606,0.249123751,0.0178703895
72.5,0.962142127,7992.4,2.07599028,-56.9490512,0.301756845,0.2465426,0.191763017
73,0.961818507,7992,2.12709484,-57.4667264,0.127761405,0.24647201,-0.0491928162
73.5,0.963293166,7991.6,2.26731145,-53.0832319,0.350541526,0.246862256,0.0466578824
74,0.963980363,7991.2,2.38070897,-50.3438399,0.283493793,0.247050729,0.0159054277
74.5,0.965682212,7990.8,2.44305035,-44.6786588,0.155853459,0.24749927,-0.0331823796
75,0.970138311,7990.4,2.54459306,-32.299459,0.253856784,0.248653792,0.0346540118
75.5,0.970030955,7990,2.67331065,-32.5887025,0.321793959,0.248638723,0.0301875237
76,0.973935317,7989.6,2.81145935,-20.5566138,0.345371759,0.249651989,0.064066201
76.5,0.973305292,7989.2,2.89020166,-21.9303042,0.196855775,0.249502984,-0.0209905845
77,0.973035577,7988.8,3.00664666,-23.1088034,0.291112504,0.249446333,0.0172488855
77.5,0.969443089,7988.4,3.14059637,-34.4635073,0.334874267,0.248537811,0.056666661
78,0.968015495,7988,3.27738371,-39.1209022,0.341968338,0.248184243,0.0420931132
78.5,0.96726491,7987.6,3.3805542,-41.4697397,0.257926248,0.248004224,0.0050301269
79,0.971713127,7987.2,3.50963994,-26.5640605,0.322714332,0.249157212,0.062567969
79.5,0.970255172,7986.8,3.59551475,-32.1668962,0.214687024,0.248795837,-0.0105944659
80,0.966360052,7986.4,3.68588589,-44.1672123,0.225927864,0.247809449,0.0158332471
80.5,0.962260083,7986,3.81456028,-56.6515999,0.321685969,0.246770429,0.0589498935
81,0.960646765,7985.6,3.96851036,-61.1378671,0.384875193,0.246369036,0.0620019231
81.5,0.975200729,7985.2,4.084647,-16.7650666,0.290341598,0.250114098,0.362055133
82,0.975868066,7984.8,4.17692897,-13.7180232,0.230704925,0.250297791,-0.0073097633
82.5,0.97200736,7984.4,4.26453162,-25.6667065,0.219006635,0.249320058,0.0116958254
83,0.973366029,7984,4.36784128,-21.8500398,0.258274149,0.249681066,0.00652936505
83.5,0.971032536,7983.6,4.45350006,-28.7118318,0.214146956,0.249094974,-0.00553757899
84,0.974485621,7983.2,4.5695958,-18.1010225,0.290239347,0.249993305,0.0358547307
84.5,0.976253658,7982.8,4.68339253,-13.1275992,0.284491828,0.250459424,0.0189906331
85,0.973913321,7982.4,4.78595567,-20.7096989,0.25640785,0.249871528,0.0115426157
85.5,0.97001343,7982,4.8839345,-33.4786935,0.244947063,0.248883426,0.0231409429
86,0.976146166,7981.6,4.96279901,-14.4188806,0.197161294,0.250469498,0.0390409108
86.5,0.977308842,7981.2,5.06921496,-10.8613176,0.266039869,0.250780398,0.00842373002
87,0.982916472,7980.8,5.2149845,6.27833666,0.364423841,0.252231974,0.0958441277
87.5,0.988140374,7980.4,5.28948572,22.2029674,0.186253063,0.253585219,0.0158266764
88,0.990552453,7980,5.3805991,29.8325131,0.227783434,0.25421697,-0.00154894889
88.5,0.991030694,7979.6,5.50838479,31.0703059,0.319464229,0.254352456,0.0266408077
89,0.990131768,7979.2,5.59689789,28.3906353,0.221282744,0.254134482,-0.0120037975
89.5,0.989879219,7978.8,5.71627202,27.7878383,0.29843534,0.254082398,0.0180251042
90,0.995809555,7978.4,5.87711977,46.6638132,0.402119364,0.255617413,0.1135422
90.5,0.997362136,7978,5.97906239,51.4543905,0.254856565,0.256028786,0.00325846109
91,0.993430345,7977.6,6.12138834,39.6915061,0.355814872,0.255032259,0.0645790002
91.5,0.990536776,7977.2,6.24167486,31.0386761,0.300716299,0.254302176,0.031827564
92,0.993174838,7976.8,6.34043589,39.8481792,0.246902564,0.254992236,0.0076007171
92.5,0.995685641,7976.4,6.44204189,47.7297602,0.254015007,0.255649691,0.00912956251
93,0.990309242,7976,6.56056393,31.7446623,0.296305089,0.254282012,0.062085401
93.5,0.995220797,7975.6,6.66850143,47.1104018,0.269843754,0.25555597,0.0432789134
94,0.997941695,7975.2,6.77866129,55.7176494,0.275399643,0.256267503,0.0191104147
94.5,1.00092645,7974.8,6.85564059,62.9976968,0.192448272,0.257046869,-0.0121271931
95,1.00538775,7974.4,6.9432699,75.4469349,0.219073268,0.258205521,0.0147678338
95.5,1.00488844,7974,7.03392853,74.5644566,0.226646578,0.258090235,-0.0121346106
